s1,s2,pvalue
shfe.au0000,dce.l0000,0.048739103
dce.l0000,shfe.ag0000,0.000658234
shfe.ru0000,shfe.au0000,0.047359273
shfe.zn0000,shfe.ni0000,0.04905876
czce.SR000,shfe.rb0000,0.032455321
shfe.au0000,shfe.ru0000,0.045468954
shfe.pb0000,dce.c0000,0.043071948
shfe.al0000,shfe.cu0000,0.01338837
czce.RM000,shfe.ag0000,0.014851651
cffex.IC0000,czce.AP000,0.036005202
shfe.pb0000,dce.c0000,0.043071948
shfe.ag0000,dce.pp0000,0.012450487
shfe.ag0000,dce.pp0000,0.012450487
czce.FG000,czce.MA000,0.020226232
shfe.ag0000,dce.pp0000,0.012450487
shfe.ru0000,shfe.au0000,0.047359273
shfe.bu0000,dce.a0000,0.031783429
dce.a0000,dce.i0000,0.001603147
shfe.al0000,czce.OI000,0.033396179
cffex.IC0000,dce.b0000,0.008570153
czce.OI000,cffex.IC0000,0.049960176
