s1,s2,pvalue,up,down,w,mean,std,name
dce.l0000,shfe.ag0000,0.000658234,188.23859708904894,139.18435328397902,0.3726011694685949,163.71147518651398,35.038745575049944,"{'shfe.ag0000', 'dce.l0000'}"
dce.a0000,dce.i0000,0.001603147,-63.86294262843565,-74.66652302922769,0.16810572058475193,-69.26473282883167,7.716843143422886,"{'dce.i0000', 'dce.a0000'}"
cffex.IC0000,dce.b0000,0.008570153,4714.222128023053,4621.178595998095,-0.22234796176889568,4667.700362010574,66.45966573211344,"{'cffex.IC0000', 'dce.b0000'}"
shfe.ag0000,dce.pp0000,0.012450487,4021.5819076773287,3915.791109925007,1.4313826437395498,3968.6865088011677,75.56485553737299,"{'dce.pp0000', 'shfe.ag0000'}"
shfe.al0000,shfe.cu0000,0.01338837,15809.175985575412,15115.615631717143,2.607753607928978,15462.395808646277,495.40025275590676,"{'shfe.al0000', 'shfe.cu0000'}"
czce.RM000,shfe.ag0000,0.014851651,6131.3686488017265,6057.210142908032,-0.9782892623600574,6094.289395854879,52.9703613526385,"{'czce.RM000', 'shfe.ag0000'}"
czce.FG000,czce.MA000,0.020226232,814.8429912248607,691.79062100858,1.3997037755267963,753.3168061167204,87.89455015448615,"{'czce.FG000', 'czce.MA000'}"
shfe.bu0000,dce.a0000,0.031783429,5210.162344061457,5134.702471372591,-0.5693652361215917,5172.432407717024,53.899909063474674,"{'shfe.bu0000', 'dce.a0000'}"
czce.SR000,shfe.rb0000,0.032455321,9367.494149200003,9288.800327152108,-0.9348115336327729,9328.147238176056,56.209872891353605,"{'czce.SR000', 'shfe.rb0000'}"
shfe.al0000,czce.OI000,0.033396179,2459.86710837303,2396.511912553627,0.27394564975739344,2428.1895104633286,45.25371129957346,"{'czce.OI000', 'shfe.al0000'}"
cffex.IC0000,czce.AP000,0.036005202,-1457.6836327343392,-1740.344037974464,1.4791461512276227,-1599.0138353544016,201.90028945723216,"{'czce.AP000', 'cffex.IC0000'}"
shfe.pb0000,dce.c0000,0.043071948,2472.744088147851,2450.4295551602004,-0.033344384428496854,2461.5868216540257,15.938952134036128,"{'dce.c0000', 'shfe.pb0000'}"
shfe.ru0000,shfe.au0000,0.047359273,221.7480999747049,219.68410495498622,0.004208060547977819,220.71610246484556,1.4742821569418927,"{'shfe.au0000', 'shfe.ru0000'}"
shfe.au0000,dce.l0000,0.048739103,-5913.9089447702745,-6054.688203369274,56.85727731087934,-5984.298574069774,100.55661328499997,"{'shfe.au0000', 'dce.l0000'}"
shfe.zn0000,shfe.ni0000,0.04905876,-72171.0677073105,-74741.71711681395,6.635228820130312,-73456.39241206223,1836.1781496453225,"{'shfe.zn0000', 'shfe.ni0000'}"
czce.OI000,cffex.IC0000,0.049960175999999995,-9572.212989944628,-9749.871636612812,2.4520004575976553,-9661.04231327872,126.89903333441745,"{'czce.OI000', 'cffex.IC0000'}"
