s1,s2,corr
shfe.ni0000,dce.c0000,0.1765986394557823
shfe.ni0000,czce.FG000,0.13413729128014842
shfe.ni0000,czce.TA000,0.13178726035868893
shfe.ni0000,dce.p0000,0.11298701298701298
shfe.ni0000,dce.i0000,0.1111317254174397
shfe.ni0000,czce.SR000,0.10660482374768089
shfe.ni0000,shfe.ru0000,0.09724180581323437
shfe.ni0000,dce.pp0000,0.09632653061224489
shfe.ni0000,shfe.cu0000,0.0910204081632653
shfe.ni0000,cffex.IF0000,0.0898082869511441
shfe.ni0000,shfe.rb0000,0.07972789115646257
shfe.ni0000,czce.OI000,0.06787878787878787
shfe.ni0000,czce.SM000,0.044032158317872605
shfe.ni0000,czce.WH000,0.03960420531849103
shfe.ni0000,dce.v0000,0.039022881880024736
shfe.ni0000,cffex.IH0000,0.038293135435992574
shfe.ni0000,dce.l0000,0.00849721706864564
shfe.ni0000,czce.SF000,0.005231910946196661
shfe.ni0000,czce.CF000,-0.006876932591218305
shfe.ni0000,dce.cs0000,-0.013296227581941869
shfe.ni0000,shfe.hc0000,-0.01721706864564007
shfe.ni0000,dce.b0000,-0.01761286332714904
shfe.ni0000,czce.MA000,-0.01789734075448361
shfe.ni0000,czce.ZC000,-0.02030921459492888
shfe.ni0000,cffex.IC0000,-0.027470624613481754
shfe.ni0000,cffex.T0000,-0.037241805813234385
shfe.ni0000,czce.AP000,-0.04646876932591218
shfe.ni0000,shfe.zn0000,-0.05150278293135435
shfe.ni0000,shfe.au0000,-0.0549165120593692
shfe.ni0000,shfe.bu0000,-0.07642547928262214
shfe.ni0000,dce.a0000,-0.08142238713667284
shfe.ni0000,shfe.al0000,-0.08471243042671614
shfe.ni0000,dce.j0000,-0.08790352504638219
shfe.ni0000,dce.jm0000,-0.0998886827458256
shfe.ni0000,czce.RM000,-0.11797155225726653
shfe.ni0000,shfe.sn0000,-0.1196907854050711
shfe.ni0000,cffex.TF0000,-0.12583797155225723
shfe.ni0000,shfe.ag0000,-0.14312925170068028
shfe.ni0000,dce.y0000,-0.1507111935683364
shfe.ni0000,shfe.pb0000,-0.1780333951762523
shfe.ni0000,dce.m0000,-0.19965367965367964
shfe.ni0000,dce.jd0000,-0.2142238713667285
shfe.ni0000,czce.LR000,-9999.0
shfe.ni0000,dce.bb0000,-9999.0
shfe.ni0000,czce.CJ000,-9999.0
shfe.ni0000,cffex.TS0000,-9999.0
shfe.ni0000,ine.sc0000,-9999.0
shfe.ni0000,shfe.fu0000,-9999.0
shfe.ni0000,czce.CY000,-9999.0
shfe.ni0000,dce.fb0000,-9999.0
shfe.ni0000,shfe.sp0000,-9999.0
shfe.ni0000,shfe.wr0000,-9999.0
shfe.ni0000,dce.eg0000,-9999.0
shfe.ni0000,czce.RS000,-9999.0
shfe.ni0000,czce.JR000,-9999.0
shfe.ni0000,czce.PM000,-9999.0
shfe.ni0000,czce.RI000,-9999.0
